STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/25/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/26/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/31/2017,0.08,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/3/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/4/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/6/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/8/2017,0.06,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/11/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/12/2017,0.01,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/13/2017,0.04,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/14/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/15/2017,1.28,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/16/2017,0.02,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/17/2017,0.01,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/19/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/20/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/21/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/22/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/23/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/24/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/25/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/26/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/27/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/28/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",6/29/2017,0,0,,,,
