"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT08","WT11"
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-11",,,"0.89",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-12",,,"0.07",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-13",,,"1.18",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-14",,,"0.24",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-15",,,"0.03",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-16",,,"0.01",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-17",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-18",,,"0.38",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-19",,,"0.21",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-20",,,"0.39",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-21",,,"0.08",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-22",,,"0.04",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-23",,,"0.30",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-24",,,"0.41",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-25",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-26",,,"0.13",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-27",,,"0.05",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-28",,,"0.02",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-04-30",,,"0.03",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-01",,,"0.02",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-02",,,"0.06",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-03",,,"0.02",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-04",,,"0.24","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-05",,,"0.01",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-06",,,"0.16",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-07",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-08",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-09",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-10",,,"0.03","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-11",,,"0.38",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-12",,,"0.21",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-13",,,"0.16",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-14",,,"0.24",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-15",,,"0.30",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-16",,,"0.06",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-05-17",,,"0.00","0.0",,,,,,,,,,,,
